DOMAIN,DOMAIN,NAME_CN,KEY,DAY,WEEK,MONTH,YEAR
PERF,收益表现,单位净值,NAV,T_ST_JJJZ,,,
PERF,收益表现,累计净值,CUM_NAV_DW,T_ST_JJJZ,,,
PERF,收益表现,复权净值,CUM_NAV,T_ST_RHB,,,
PERF,收益表现,当日回报,DAY_RET,T_ST_RHB,,,
PERF,收益表现,收益率,RET,T_ST_SM_RQJHB,T_ST_SM_ZHB,T_ST_SM_YHB,T_ST_SM_NHB
PERF,收益表现,收益率排名,RET_RANK,T_ST_SM_RQJHBPM,,,T_ST_SM_NHBPM
PERF,收益表现,年化收益率,RET_ANN,T_ST_SM_RQJNHHB,,,
PERF,收益表现,年化收益率排名,RET_RANK_ANN,T_ST_SM_RQJHBPM,,,
RISK,风险收益,波动率,VOLATILITY,,T_ST_SM_ZQJBDL,T_ST_SM_YQJBDL,T_ST_SM_NBDL
RISK,风险收益,波动率排名,VOLATILITY_RANK,,T_ST_SM_ZQJBDLPM,T_ST_SM_YQJBDLPM,T_ST_SM_NBDLPM
RISK,风险收益,年化波动率,VOLATILITY_ANN,,T_ST_SM_ZQJBDL,T_ST_SM_YQJBDL,T_ST_SM_NBDL
RISK,风险收益,年化波动率排名,VOLATILITY_RANK_ANN,,T_ST_SM_ZQJBDLPM,T_ST_SM_YQJBDLPM,T_ST_SM_NBDLPM
RISK,风险收益,最大回撤,MAX_DRAWDOWN,T_ST_SM_QJZDHC,,,T_ST_SM_NZDHC
RISK,风险收益,最大回撤排名,MAX_DRAWDOWN_RANK,T_ST_SM_QJZDHCPM,,,T_ST_SM_NZDHCPM
RISK,风险收益,Sharpe比率,SHARPE_RATIO,,T_ST_SM_ZQJXPBL,T_ST_SM_YQJXPBL,T_ST_SM_NXPBL
RISK,风险收益,Sharpe比率排名,SHARPE_RATIO_RANK,,T_ST_SM_ZQJXPBLPM,T_ST_SM_YQJXPBLPM,T_ST_SM_NXPBLPM
RISK,风险收益,年化Sharpe,SHARPE_RATIO_ANN,,T_ST_SM_ZQJXPBL,ST_SM_YQJXPBL,T_ST_SM_NXPBL
RISK,风险收益,年化Sharpe排名,SHARPE_RATIO_RANK_ANN,,T_ST_SM_ZQJXPBLPM,T_ST_SM_YQJXPBLPM,T_ST_SM_NXPBLPM
RISK,风险收益,下行风险,DOWNSIDE,,T_ST_SM_ZQJXXFX,T_ST_SM_YQJXXFX,T_ST_SM_NXXFX
RISK,风险收益,年化下行风险,DOWNSIDE_ANN,,T_ST_SM_ZQJXXFX,T_ST_SM_YQJXXFX,T_ST_SM_NXXFX
RISK,风险收益,Sortino比率,SORTINO,,T_ST_SM_ZSTN,T_ST_SM_YSTNBL,T_ST_SM_NSTNBL
RISK,风险收益,Sortino比率排名,SORTINO_RANK,,T_ST_SM_ZSTNPM,T_ST_SM_YSTNBLPM,T_ST_SM_NSTNBLPM
RISK,风险收益,年化Sortino,SORTINO_ANN,,T_ST_SM_ZSTN,T_ST_SM_YSTNBL,T_ST_SM_NSTNBL
RISK,风险收益,年化Sortino排名,SORTINO_RANK_ANN,,T_ST_SM_ZSTNPM,T_ST_SM_YSTNBLPM,T_ST_SM_NSTNBLPM
RISK,风险收益,Calmar比率,CALMAR_RATIO,T_ST_SM_QJKMBL,,,T_ST_SM_NKMBL
RISK,风险收益,Calmar比率排名,CALMAR_RATIO_RANK,T_ST_SM_QJKMBLPM,,,T_ST_SM_NKMBLPM
RISK,风险收益,信息比率,INFO_RATIO,,T_ST_SM_ZQJXXBL,T_ST_SM_YQJXXBL,T_ST_SM_NXXBL
RISK,风险收益,投资胜率,WIN_PCT,,,T_ST_SM_QJTZSL,T_ST_SM_NTZSL
RISK,风险收益,平均损益比,AVG_PROFIT_LOSS,,,T_ST_SM_QJPJSYB,T_ST_SM_NPJSYB
RISK,风险收益,选股能力,STOCK_SELECTION,,T_ST_SM_ZQJXGNL,T_ST_SM_YQJXGNL,T_ST_SM_NXGZSNL
RISK,风险收益,择时能力,MARKET_TIMING,,T_ST_SM_ZQJZSNL,T_ST_SM_YQJZSNL,T_ST_SM_NXGZSNL
BEMK,比较基准,收益率,RET,T_ST_SM_JZRQJHB,T_ST_SM_ZCEHB,T_ST_SM_YCEHB,T_ST_SM_JZNHB
BEMK,比较基准,年化波动率,VOLATILITY_ANN,,T_ST_SM_ZQJJZNHBDL,T_ST_SM_YQJJZNHBDL,T_ST_SM_NJZNHBDL
BEMK,比较基准,基准投资胜率,WIN_PCT,,,T_ST_SM_QJJZTZSL,T_ST_SM_NJZTZSL
BEMK,比较基准,平均损益比,AVG_PROFIT_LOSS,,,T_ST_SM_QJJZPJSYB,T_ST_SM_JZNPJSYB
EXCS,超额收益,超额收益率,RET,T_ST_SM_RQJCEHB,T_ST_SM_ZCEHB,T_ST_SM_YCEHB,T_ST_SM_NCEHB
EXCS,超额收益,超额回撤,MAX_DRAWDOWN,T_ST_SM_QJCEZDHC,,,T_ST_SM_NCEZDHC
EXCS,超额收益,超额年化波动率,VOLATILITY_ANN,,T_ST_SM_ZQJCENHBDL,T_ST_SM_YQJCENHBDL,T_ST_SM_NCENHBDL
EXCS,超额收益,超额下行风险,DOWNSIDE,,T_ST_SM_ZQJCEXXFX,T_ST_SM_YQJCEXXFX,T_ST_SM_NCEXXFX
EXCS,超额收益,超额年化下行风险,DOWNSIDE_ANN,,T_ST_SM_ZQJCEXXFX,T_ST_SM_YQJCEXXFX,T_ST_SM_NCEXXFX
EXCS,超额收益,超额年化Sharp,SHARPE_RATIO_ANN,,T_ST_SM_ZQJCENHXPBL,T_ST_SM_YQJCENHXPBL,T_ST_SM_NCENHXPBL
EXCS,超额收益,超额年化Sortino,SORTINO_ANN,,T_ST_SM_ZQJCENHSTN,T_ST_SM_YQJCENHSTN,T_ST_SM_NCENHSTN
EXCS,超额收益,超额Calmar,CALMAR_RATIO,T_ST_SM_RQJCEKMBL,,,T_ST_SM_NCEKMBL
EXCS,超额收益,超额投资胜率,WIN_PCT,,,T_ST_SM_QJCETZSL,T_ST_SM_NCETZSL
EXCS,超额收益,超额平均损益比,AVG_PROFIT_LOSS,,,T_ST_SM_QJCEPJSYB,T_ST_SM_NCEPJSYB
HBIDX,好买指数,收益率,RET,,,T_ST_SM_HMZS,
